last_name, first_name,player_id,team_id,team,position,age,competitive_runs,hp_to_1b,sprint_speed
Choo, Shin-Soo,425783,140,TEX,RF,34,65,,25.5
Tulowitzki, Troy,453064,141,TOR,SS,32,192,,25.5
Ross, David,424325,112,CHC,C,39,62,,25.5
Flores, Wilmer,527038,121,NYM,3B,25,111,,25.5
Cabrera, Asdrubal,452678,121,NYM,SS,31,176,,25.5
Adams, Matt,571431,138,STL,1B,28,86,,25.5
Jaso, John,444379,134,PIT,1B,33,164,,25.5
Lowrie, Jed,476704,133,OAK,2B,32,131,,25.5
Gillaspie, Conor,543216,137,SF,3B,29,81,,25.5
Mathis, Jeff,425772,146,MIA,C,33,42,,25.5
Gennett, Scooter,571697,158,MIL,2B,26,206,,25.5
Flowers, Tyler,452095,144,ATL,C,30,94,,25.5
Suzuki, Kurt,435559,142,MIN,C,33,148,,25.4
Stewart, Chris,455755,134,PIT,C,34,44,,25.4
Decker, Jaff,543094,139,TB,RF,26,16,,25.4
Martin, Russell,431145,141,TOR,C,33,171,,25.4
Kemp, Matt,461314,144,ATL,RF,32,225,,25.3
Cabrera, Ramon,541608,113,CIN,C,27,77,,25.3
Bautista, Jose,430832,141,TOR,RF,36,167,,25.3
Encarnacion, Edwin,429665,141,TOR,DH,33,222,,25.3
Rupp, Cameron,519237,143,PHI,C,28,158,,25.3
Maldonado, Martin,455117,158,MIL,C,30,79,,25.3
Joseph, Tommy,571830,143,PHI,1B,25,114,,25.3
Duda, Lucas,446263,121,NYM,1B,30,61,,25.2
Sands, Jerry,543742,145,CWS,DH,29,19,,25.2
Nicholas, Brett,592592,140,TEX,C,28,19,,25.2
Kratz, Erik,456124,134,PIT,C,36,21,,25.2
Alvarez, Pedro,476883,110,BAL,DH,29,119,,25.2
Tejada, Ruben,514913,137,SF,3B,27,29,,25.2
Vargas, Kennys,573627,142,MIN,1B,26,47,,25.2
Gyorko, Jedd,576397,138,STL,2B,28,141,,25.2
Posey, Buster,457763,137,SF,C,29,248,,25.2
Wright, David,431151,121,NYM,3B,34,29,,25.2
Morneau, Justin,408047,145,CWS,DH,35,88,,25.1
Gutierrez, Franklin,429711,136,SEA,RF,33,67,,25.1
Pina, Manny,444489,158,MIL,C,29,27,,25.1
Brantley, Michael,488726,114,CLE,LF,29,18,,25.1
Gosewisch, Tuffy,488912,109,ARI,C,33,32,,25.1
Barnhart, Tucker,571466,113,CIN,C,25,170,,25.1
Perez, Roberto,547379,114,CLE,C,28,88,,25.0
Colabello, Chris,499624,141,TOR,1B,33,12,,25.0
Solarte, Yangervis,500208,135,SD,3B,29,172,,25.0
Leon, Sandy,506702,111,BOS,C,27,114,,25.0
Wieters, Matt,446308,110,BAL,C,30,149,,25.0
Reynolds, Mark,448602,115,COL,1B,33,153,,25.0
Iannetta, Chris,455104,136,SEA,C,33,91,,25.0
Votto, Joey,458015,113,CIN,1B,33,227,,25.0
Gimenez, Chris,460269,114,CLE,C,34,56,,25.0
Wallace, Brett,477165,135,SD,3B,30,74,,24.9
Schwarber, Kyle,656941,112,CHC,DH,23,10,,24.9
Castillo, Welington,456078,109,ARI,C,29,166,,24.9
Cano, Robinson,429664,136,SEA,2B,34,260,,24.8
Napoli, Mike,435063,114,CLE,1B,35,185,,24.8
Reed, AJ,607223,117,HOU,1B,23,35,,24.8
Sucre, Jesus,491696,136,SEA,C,28,13,,24.8
Rivera, Rene,425784,121,NYM,C,33,63,,24.7
Moustakas, Mike,519058,118,KC,3B,28,40,,24.7
Ellis, A.J.,454560,143,PHI,C,35,62,,24.6
Loney, James,425766,121,NYM,1B,32,142,,24.6
Lind, Adam,452252,136,SEA,1B,33,143,,24.6
Alonso, Yonder,475174,133,OAK,1B,29,208,,24.6
Casali, Curt,592200,139,TB,C,28,67,,24.5
Teixeira, Mark,407893,147,NYY,1B,36,146,,24.5
Pierzynski, A.J.,150229,144,ATL,C,40,127,,24.4
Cabrera, Miguel,408234,116,DET,1B,33,203,,24.4
Fielder, Prince,425902,140,TEX,DH,32,130,,24.3
Narvaez, Omar,553882,145,CWS,C,24,59,,24.3
Smoak, Justin,475253,141,TOR,1B,30,72,,24.3
Morales, Kendrys,434778,118,KC,DH,33,207,,24.3
Grandal, Yasmani,518735,119,LAD,C,28,141,,24.2
Bour, Justin,571506,146,MIA,1B,28,111,,24.2
Maxwell, Bruce,622194,133,OAK,C,26,43,,24.2
Avila, Alex,488671,145,CWS,C,29,64,,24.2
Clevenger, Steve,502182,136,SEA,C,30,27,,24.1
Ramos, Wilson,467092,120,WSH,C,29,225,,24.1
Conger, Hank,474233,139,TB,C,28,41,,24.1
Lobaton, Jose,446653,120,WSH,C,32,42,,24.1
Gonzalez, Adrian,408236,119,LAD,1B,34,234,,24.1
Rodriguez, Alex,121347,147,NYY,DH,41,73,,23.9
Wilson, Bobby,435064,139,TB,C,33,82,,23.9
Molina, Yadier,425877,138,STL,C,34,249,,23.8
Butler, Billy,456714,147,NYY,DH,30,102,,23.7
Bandy, Jett,542908,108,LAA,C,26,63,,23.7
Ortiz, David,120074,111,BOS,DH,41,153,,23.6
Montero, Miguel,471083,112,CHC,C,33,104,,23.5
Howard, Ryan,429667,143,PHI,1B,37,72,,23.3
Navarro, Dioner,425900,141,TOR,C,32,97,,23.2
Thole, Josh,489365,141,TOR,C,30,41,,23.2
Lee, Dae-Ho,493193,136,SEA,1B,34,119,,23.1
McCann, Brian,435263,147,NYY,C,32,122,,23.0
Sanchez, Hector,516949,135,SD,C,27,11,,22.9
Pujols, Albert,405395,108,LAA,DH,36,225,,22.6
Martinez, Victor,400121,116,DET,DH,38,167,,22.6
